country_code,city,location,lat,lon,pollutant,source_name,unit,value,last_updated,country_label,location_label
JP,NA,北九州市若松区本町三丁目１３－１,33.898056,130.81,NO2,japan-soramame,ppm,0.005,2024-03-10T08:00:00Z,Japan,北九州市若松区本町三丁目１３－１
JP,NA,千歳市若草４－１３,42.786944,141.605,NO2,japan-soramame,ppm,0.004,2024-03-10T08:00:00Z,Japan,千歳市若草４－１３
JP,NA,千葉市花見川区花見川４－１,35.693889,140.098333,SO2,japan-soramame,ppm,0.001,2024-03-10T08:00:00Z,Japan,千葉市花見川区花見川４－１
JP,NA,南埼玉郡宮代町学園台4-1,36.027222,139.716111,PM2.5,japan-soramame,µg/m³,2,2024-03-10T08:00:00Z,Japan,南埼玉郡宮代町学園台4-1
JP,NA,厚木市中町１－８－１１,35.443333,139.368056,NO2,japan-soramame,ppm,0.006,2024-03-10T08:00:00Z,Japan,厚木市中町１－８－１１
JP,NA,古河市下大野谷地川２４５６,36.175833000000004,139.75888899999998,SO2,japan-soramame,ppm,0.001,2024-03-10T08:00:00Z,Japan,古河市下大野谷地川２４５６
JP,NA,名古屋市中区大須２丁目４０４番地先,35.1625,136.901111,SO2,japan-soramame,ppm,0.001,2024-03-10T08:00:00Z,Japan,名古屋市中区大須２丁目４０４番地先
JP,NA,名古屋市南区松下町２－１,35.073056,136.916667,PM2.5,japan-soramame,µg/m³,3,2024-03-10T08:00:00Z,Japan,名古屋市南区松下町２－１
JP,NA,名古屋市港区港陽１－１－６５,35.099722,136.890278,NO2,japan-soramame,ppm,0.002,2024-03-10T08:00:00Z,Japan,名古屋市港区港陽１－１－６５
JP,NA,君津市久保２－１１,35.331667,139.901944,SO2,japan-soramame,ppm,0.002,2024-03-10T08:00:00Z,Japan,君津市久保２－１１
JP,NA,君津市俵田１１１０,35.319444,140.056667,PM2.5,japan-soramame,µg/m³,5,2024-03-10T08:00:00Z,Japan,君津市俵田１１１０
JP,NA,呉市西畑町３３地先,34.236389,132.583889,NO2,japan-soramame,ppm,0.002,2024-03-10T08:00:00Z,Japan,呉市西畑町３３地先
JP,NA,和光市諏訪３－２０,35.774722,139.621389,NO2,japan-soramame,ppm,0.002,2024-03-10T08:00:00Z,Japan,和光市諏訪３－２０
JP,NA,品川区西五反田７－２５－１,35.616667,139.722222,CO,japan-soramame,ppm,0.3,2024-03-10T08:00:00Z,Japan,品川区西五反田７－２５－１
JP,NA,四国中央市三島宮川４－６－５３,33.976944,133.552778,SO2,japan-soramame,ppm,0.001,2024-03-10T08:00:00Z,Japan,四国中央市三島宮川４－６－５３
JP,NA,四国中央市土居町入野１７８－１,33.9475,133.420833,SO2,japan-soramame,ppm,0,2024-03-10T08:00:00Z,Japan,四国中央市土居町入野１７８－１
JP,NA,四日市市伊坂町字上ノ山,35.036389,136.626944,NO2,japan-soramame,ppm,0.003,2024-03-10T08:00:00Z,Japan,四日市市伊坂町字上ノ山
JP,NA,多治見市１１９４番地の１,35.305833,137.170278,PM2.5,japan-soramame,µg/m³,3,2024-03-10T08:00:00Z,Japan,多治見市１１９４番地の１
JP,NA,大分市大字横瀬４１６番地,33.185556,131.553889,SO2,japan-soramame,ppm,0.008,2024-03-10T08:00:00Z,Japan,大分市大字横瀬４１６番地
JP,NA,大和市下鶴間１－１－１,35.484167,139.4625,NO2,japan-soramame,ppm,0.005,2024-03-10T08:00:00Z,Japan,大和市下鶴間１－１－１
JP,NA,大和高田市大中９８－４,34.515833,135.737222,SO2,japan-soramame,ppm,0.001,2024-03-10T08:00:00Z,Japan,大和高田市大中９８－４
JP,NA,大牟田市有明町２－３,33.026667,130.44833300000002,CO,japan-soramame,ppm,0.9,2024-03-10T08:00:00Z,Japan,大牟田市有明町２－３
JP,NA,大町市大町１０５８－２,36.500833,137.863056,NO2,japan-soramame,ppm,0.002,2024-03-10T08:00:00Z,Japan,大町市大町１０５８－２
JP,NA,姫路市八代７７９番地の１７,34.843333,134.7,NO2,japan-soramame,ppm,0.004,2024-03-10T08:00:00Z,Japan,姫路市八代７７９番地の１７
JP,NA,姫路市白浜町甲３９６－８,34.781944,134.7075,PM2.5,japan-soramame,µg/m³,7,2024-03-10T08:00:00Z,Japan,姫路市白浜町甲３９６－８
JP,NA,嬉野市嬉野町大字下宿乙1408番地,33.101389,129.982222,SO2,japan-soramame,ppm,0.001,2024-03-10T08:00:00Z,Japan,嬉野市嬉野町大字下宿乙1408番地
JP,NA,富士吉田市上吉田１丁目２－５,35.480556,138.800833,SO2,japan-soramame,ppm,0.001,2024-03-10T08:00:00Z,Japan,富士吉田市上吉田１丁目２－５
JP,NA,富士市宮島１４２５－３地先,35.131667,138.655556,NO2,japan-soramame,ppm,0.01,2024-03-10T08:00:00Z,Japan,富士市宮島１４２５－３地先
JP,NA,富士市津田  216-4,35.154167,138.6775,NO2,japan-soramame,ppm,0.006,2024-03-10T08:00:00Z,Japan,富士市津田  216-4
JP,NA,富山市安野屋町１－１－４２,36.694722,137.203333,NO2,japan-soramame,ppm,0.002,2024-03-10T08:00:00Z,Japan,富山市安野屋町１－１－４２
JP,NA,小山市横倉新田97,36.276111,139.805,NO2,japan-soramame,ppm,0.002,2024-03-10T08:00:00Z,Japan,小山市横倉新田97
JP,NA,小豆郡土庄町渕崎甲２０７９－５,34.485278,134.191111,NO2,japan-soramame,ppm,0.005,2024-03-10T08:00:00Z,Japan,小豆郡土庄町渕崎甲２０７９－５
JP,NA,尼崎市東難波町4丁目9-12,34.722778,135.417778,NO2,japan-soramame,ppm,0.008,2024-03-10T08:00:00Z,Japan,尼崎市東難波町4丁目9-12
JP,NA,山形市成沢西１－３－３,38.211944,140.315556,PM2.5,japan-soramame,µg/m³,6,2024-03-10T08:00:00Z,Japan,山形市成沢西１－３－３
JP,NA,山陽小野田市大字小野田３９２３,33.955,131.185,NO2,japan-soramame,ppm,0.004,2024-03-10T08:00:00Z,Japan,山陽小野田市大字小野田３９２３
JP,NA,岐阜市明徳町１１,35.420556,136.761111,CO,japan-soramame,ppm,0.2,2024-03-10T08:00:00Z,Japan,岐阜市明徳町１１
JP,NA,岡山市南区南輝３－６－９,34.602778,133.9375,SO2,japan-soramame,ppm,0.003,2024-03-10T08:00:00Z,Japan,岡山市南区南輝３－６－９
JP,NA,岡山市東区西大寺五明１８６,34.639722,134.052778,SO2,japan-soramame,ppm,0.003,2024-03-10T08:00:00Z,Japan,岡山市東区西大寺五明１８６
JP,NA,岩沼市中央３丁目１－１３,38.108056,140.870833,PM2.5,japan-soramame,µg/m³,4,2024-03-10T08:00:00Z,Japan,岩沼市中央３丁目１－１３
JP,NA,川崎市多摩区登戸１３２９,35.618611,139.5625,NO2,japan-soramame,ppm,0.002,2024-03-10T08:00:00Z,Japan,川崎市多摩区登戸１３２９
JP,NA,川崎市川崎区田島町２０－５,35.51499999999999,139.712222,PM2.5,japan-soramame,µg/m³,7,2024-03-10T08:00:00Z,Japan,川崎市川崎区田島町２０－５
JP,NA,さいたま市北区宮原町4-129,35.951667,139.606944,PM2.5,japan-soramame,µg/m³,2,2024-03-10T08:00:00Z,Japan,さいたま市北区宮原町4-129
JP,NA,さいたま市大宮区大門町３－３,35.902778,139.634167,NO2,japan-soramame,ppm,0.003,2024-03-10T08:00:00Z,Japan,さいたま市大宮区大門町３－３
JP,NA,幸手市幸手２２６２,36.071667,139.735,PM2.5,japan-soramame,µg/m³,6,2024-03-10T08:00:00Z,Japan,幸手市幸手２２６２
JP,NA,広島市中区基町１１－１,34.392222,132.461111,NO2,japan-soramame,ppm,0.013,2024-03-10T08:00:00Z,Japan,広島市中区基町１１－１
JP,NA,延岡市出北町２丁目１４６７－２,32.570833,131.67499999999998,NO2,japan-soramame,ppm,0.003,2024-03-10T08:00:00Z,Japan,延岡市出北町２丁目１４６７－２
JP,NA,恵那市長島町正家後田１０６７－７１,35.449722,137.432222,PM2.5,japan-soramame,µg/m³,5,2024-03-10T08:00:00Z,Japan,恵那市長島町正家後田１０６７－７１
JP,NA,掛川市三俣６２０,34.666111,138.055,PM2.5,japan-soramame,µg/m³,3,2024-03-10T08:00:00Z,Japan,掛川市三俣６２０
JP,NA,掛川市三俣６２０,34.666111,138.055,NO2,japan-soramame,ppm,0.002,2024-03-10T08:00:00Z,Japan,掛川市三俣６２０
JP,NA,日高市中鹿山８１,35.89,139.346667,PM2.5,japan-soramame,µg/m³,3,2024-01-16T04:00:00Z,Japan,日高市中鹿山８１
JP,NA,春日部市谷原１－３,35.968611,139.748889,NO2,japan-soramame,ppm,0.001,2024-03-10T08:00:00Z,Japan,春日部市谷原１－３
JP,NA,札幌市豊平区月寒中央通７丁目,43.031667,141.395833,PM2.5,japan-soramame,µg/m³,5,2024-03-10T08:00:00Z,Japan,札幌市豊平区月寒中央通７丁目
JP,NA,杉並区久我山５－３６－１７,35.686111,139.605556,NO2,japan-soramame,ppm,0.003,2024-03-10T08:00:00Z,Japan,杉並区久我山５－３６－１７
JP,NA,東彼杵郡川棚町下組郷字開３０４－５,33.063056,129.86,NO2,japan-soramame,ppm,0.002,2024-03-10T08:00:00Z,Japan,東彼杵郡川棚町下組郷字開３０４－５
JP,NA,杵島郡白石町大字福田2371番地,33.184722,130.149444,NO2,japan-soramame,ppm,0.002,2024-03-10T08:00:00Z,Japan,杵島郡白石町大字福田2371番地
JP,NA,松戸市五香西２－４０－１０,35.791389,139.9625,SO2,japan-soramame,ppm,0.001,2024-03-10T08:00:00Z,Japan,松戸市五香西２－４０－１０
JP,NA,柏市大室１２５６,35.896944,139.966944,SO2,japan-soramame,ppm,0.002,2024-03-10T08:00:00Z,Japan,柏市大室１２５６
JP,NA,桑名市繁松新田字宮之割42番地の1,35.054722,136.672222,NO2,japan-soramame,ppm,0.003,2024-03-10T08:00:00Z,Japan,桑名市繁松新田字宮之割42番地の1
JP,NA,横浜市南区南太田２－３０－１,35.432778,139.608889,NO2,japan-soramame,ppm,0.008,2024-03-10T08:00:00Z,Japan,横浜市南区南太田２－３０－１
JP,NA,横浜市西区浅間町１－１６,35.465556,139.611667,PM2.5,japan-soramame,µg/m³,9,2024-03-10T08:00:00Z,Japan,横浜市西区浅間町１－１６
JP,NA,横須賀市久里浜６－１４－２,35.225,139.708333,PM2.5,japan-soramame,µg/m³,4,2024-03-10T08:00:00Z,Japan,横須賀市久里浜６－１４－２
JP,NA,武蔵野市関前３－２－２０,35.711111,139.558333,PM2.5,japan-soramame,µg/m³,3,2024-03-10T08:00:00Z,Japan,武蔵野市関前３－２－２０
JP,NA,江戸川区春江町５－３ー３,35.677778000000004,139.880556,NO2,japan-soramame,ppm,0.003,2024-03-10T08:00:00Z,Japan,江戸川区春江町５－３ー３
JP,NA,河北郡津幡町加賀爪ニ３,36.664167,136.731111,NO2,japan-soramame,ppm,0.001,2024-03-10T08:00:00Z,Japan,河北郡津幡町加賀爪ニ３
JP,NA,津山市山北７４０,35.068333,134.011389,NO2,japan-soramame,ppm,0.001,2024-03-10T08:00:00Z,Japan,津山市山北７４０
JP,NA,津島市埋田町２－１２３－１,35.170278,136.743056,PM2.5,japan-soramame,µg/m³,0,2024-03-10T08:00:00Z,Japan,津島市埋田町２－１２３－１
JP,NA,港区高輪２－２０,35.633333,139.741667,CO,japan-soramame,ppm,0.2,2024-03-10T08:00:00Z,Japan,港区高輪２－２０
JP,NA,玉野市宇野１－３０５５－６,34.4875,133.949167,SO2,japan-soramame,ppm,0.002,2024-03-10T08:00:00Z,Japan,玉野市宇野１－３０５５－６
JP,NA,玉野市渋川１－４１０－１,34.453889,133.909167,SO2,japan-soramame,ppm,0.004,2024-03-10T08:00:00Z,Japan,玉野市渋川１－４１０－１
JP,NA,玖珂郡和木町大字和木２丁目１５番１号,34.203333,132.221111,PM2.5,japan-soramame,µg/m³,10,2024-03-10T08:00:00Z,Japan,玖珂郡和木町大字和木２丁目１５番１号
JP,NA,田川市大字弓削田２８３８,33.630278,130.775833,PM2.5,japan-soramame,µg/m³,10,2024-03-10T08:00:00Z,Japan,田川市大字弓削田２８３８
JP,NA,甲府市国母６－５－１,35.635833,138.558056,CO,japan-soramame,ppm,0.3,2024-03-10T08:00:00Z,Japan,甲府市国母６－５－１
