country_code,city,location,lat,lon,pollutant,source_name,unit,value,last_updated,country_label,location_label,value_ugm3,cap_ugm3,above_limit,month,extreme_value,year
JP,NA,大分市大字横瀬４１６番地,33.185556,131.553889,SO2,japan-soramame,ppm,0.008,2024-03-10T08:00:00Z,Japan,大分市大字横瀬４１６番地,20.96359918200409,3000,FALSE,3,TRUE,2024
JP,NA,大牟田市有明町２－３,33.026667,130.44833300000002,CO,japan-soramame,ppm,0.9,2024-03-10T08:00:00Z,Japan,大牟田市有明町２－３,1031.0429447852762,60000,FALSE,3,TRUE,2024
JP,NA,広島市中区基町１１－１,34.392222,132.461111,NO2,japan-soramame,ppm,0.013,2024-03-10T08:00:00Z,Japan,広島市中区基町１１－１,24.463394683026586,4000,FALSE,3,TRUE,2024
MX,JALISCO,Las Pintas,20.576667,-103.326389,PM2.5,AirNow,µg/m³,79.5,2024-02-29T23:00:00Z,Mexico,JALISCO,79.5,2000,FALSE,2,TRUE,2024
MX,Aguascalientes,Centro,21.883780555556,-102.295825,PM2.5,Sinaica Mexico,µg/m³,111.83,2024-02-19T15:00:00Z,Mexico,Aguascalientes,111.83,2000,FALSE,2,TRUE,2024
IN,NA,VK Industrial Area Jaipur - RSPCB,26.9738778,75.7738777777777,O3,CPCB,µg/m³,116.63,2017-06-12T05:30:00Z,India,VK Industrial Area Jaipur - RSPCB,116.63,1200,FALSE,6,TRUE,2017
GB,Storrington,Storrington Roadside,50.916932,-0.449548,PM2.5,DEFRA,µg/m³,62,2017-01-24T12:00:00Z,United Kingdom,Storrington,62,2000,FALSE,1,TRUE,2017
GB,NA,Derry,55.001225,-7.329115,SO2,DEFRA,µg/m³,10,2016-03-02T17:00:00Z,United Kingdom,Derry,10,3000,FALSE,3,TRUE,2016
ES,NA,ES2067A,37.0046999994835,-1.9344,SO2,EEA Spain,µg/m³,7,2022-06-14T03:00:00Z,Spain,ES2067A,7,3000,FALSE,6,TRUE,2022
RO,Prahova,RO0179A,44.9228883932407,26.0367701949202,NO2,EEA Romania,µg/m³,50.99916528,2023-05-29T10:00:00Z,Romania,Prahova,50.99916528,4000,FALSE,5,TRUE,2023
TH,NA,"Map Ta Phut, Mueang",12.708296915688,101.16605097922998,SO2,Thailand,ppm,0.008,2020-09-23T04:00:00Z,Thailand,"Map Ta Phut, Mueang",20.96359918200409,3000,FALSE,9,TRUE,2020
TR,İstanbul,İstanbul - Kandilli,41.063062,29.064458,CO,Turkiye,µg/m³,1075363,2022-10-27T02:00:00Z,Turkey,İstanbul,1075363,60000,TRUE,10,FALSE,2022
TR,İstanbul,İstanbul - Sultangazi-MTHM,41.10197,28.87202,SO2,Turkiye,µg/m³,44.463,2023-05-31T00:00:00Z,Turkey,İstanbul,44.463,3000,FALSE,5,TRUE,2023
TR,Konya,Konya - Akşehir,38.355655,31.4202837288361,CO,Turkiye,µg/m³,150212,2022-10-27T16:00:00Z,Turkey,Konya,150212,60000,TRUE,10,FALSE,2022
TW,新北市,Sanchong,25.072611,121.493806,NO2,Taiwan,ppm,0.04,2021-05-17T05:00:00Z,"Taiwan, China",新北市,75.2719836400818,4000,FALSE,5,TRUE,2021
US,Cleveland-Elyria-Mentor,Galleria,41.504661,-81.690186,CO,AirNow,ppm,1,2020-05-15T12:00:00Z,United States,Cleveland-Elyria-Mentor,1145.60327198364,60000,FALSE,5,TRUE,2020
ZA,City of Johannesburg,Jabavu-NAQI,-26.252611,27.872139,PM2.5,South Africa,µg/m³,113.144,2022-05-25T20:00:00Z,South Africa,City of Johannesburg,113.144,2000,FALSE,5,TRUE,2022
CL,NA,Huasco II,-28.466498454912,-71.230636239723,O3,Chile - SINCA,µg/m³,44.37,2021-06-27T21:00:00Z,Chile,Huasco II,44.37,1200,FALSE,6,TRUE,2021
CN,NA,阎良区,34.6575,109.2,PM2.5,ChinaAQIData,µg/m³,133,2020-12-31T15:00:00Z,China,阎良区,133,2000,FALSE,12,TRUE,2020
CN,NA,包百大楼,40.6575,109.8104,CO,ChinaAQIData,µg/m³,2700,2020-01-07T07:00:00Z,China,包百大楼,2700,60000,FALSE,1,TRUE,2020
CN,NA,机引,38.4186,112.73559999999999,SO2,ChinaAQIData,µg/m³,67,2019-03-13T02:00:00Z,China,机引,67,3000,FALSE,3,TRUE,2019
