country_code,country_label,month,year,pollutant,mean_value
AD,Andorra,4,2023,O3,45.8
AD,Andorra,5,2023,CO,100
AD,Andorra,5,2023,NO2,4.7
AD,Andorra,5,2023,O3,79.6
AD,Andorra,5,2023,PM2.5,7.9
AD,Andorra,5,2023,SO2,0.2
AE,United Arab Emirates,3,2024,CO,306.6666666666667
AE,United Arab Emirates,3,2024,NO2,7.2958823529411765
AE,United Arab Emirates,3,2024,O3,51.32952556237219
AE,United Arab Emirates,3,2024,PM2.5,46
AE,United Arab Emirates,3,2024,SO2,9.108888888888888
AE,United Arab Emirates,6,2023,PM2.5,90.2
AF,Afghanistan,8,2021,PM2.5,136
AG,Antigua and Barbuda,5,2023,PM2.5,10
AJ,NA,4,2023,PM2.5,27
AJ,NA,5,2023,PM2.5,20
AJ,NA,9,2022,PM2.5,11
AJ,NA,10,2022,PM2.5,14
AM,Armenia,6,2023,PM2.5,10.4
AQ,NA,1,2020,O3,43.2
AQ,NA,2,2021,CO,2411.7091153374236
AQ,NA,2,2021,NO2,96.05566976687116
AQ,NA,2,2021,O3,10.065709938650308
AQ,NA,2,2021,PM2.5,47.58657
AQ,NA,2,2021,SO2,13.76916446952965
AR,Argentina,1,2017,PM2.5,3
AR,Argentina,2,2022,PM2.5,3
AR,Argentina,2,2024,CO,453.6646216768916
AR,Argentina,2,2024,NO2,12.52719836400818
AR,Argentina,2,2024,O3,26
AR,Argentina,2,2024,PM2.5,5.560119032859802
AR,Argentina,2,2024,SO2,5.71
AR,Argentina,8,2023,PM2.5,6.779166743159294
AR,Argentina,9,2023,PM2.5,17.512499888737995
AR,Argentina,12,2023,PM2.5,1
AT,Austria,1,2024,CO,479.77103846153847
AT,Austria,1,2024,NO2,32.79482784893617
AT,Austria,1,2024,O3,40.58314634146342
AT,Austria,1,2024,PM2.5,20.319425074545453
AT,Austria,1,2024,SO2,1.7069248593333333
AT,Austria,2,2017,NO2,0
AT,Austria,2,2022,SO2,2.71999979
AT,Austria,2,2024,CO,353.1111065384615
AT,Austria,2,2024,NO2,27.14797832158621
AT,Austria,2,2024,O3,39.01929357798165
AT,Austria,2,2024,PM2.5,11.48634929104364
AT,Austria,2,2024,SO2,1.8932290907017544
AT,Austria,3,2017,CO,0
AT,Austria,4,2021,NO2,2.89699983
AT,Austria,5,2022,SO2,13.20600795
AT,Austria,6,2023,NO2,1.40074992
AT,Austria,6,2023,O3,99.894
AT,Austria,7,2017,NO2,10.463252814285715
AT,Austria,7,2017,O3,61.7142
AT,Austria,7,2017,SO2,1.9014760016666667
AT,Austria,8,2023,PM2.5,5.1874999950000005
AT,Austria,9,2023,SO2,3.19768047
AT,Austria,11,2023,NO2,13.094111915
AT,Austria,11,2023,PM2.5,9.8499999
AT,Austria,12,2016,CO,449.6470588235294
AT,Austria,12,2016,NO2,34.68604651162791
AT,Austria,12,2016,O3,39.31147540983606
AT,Austria,12,2016,SO2,2.5
AT,Austria,12,2020,NO2,21.561070434999998
AT,Austria,12,2020,O3,20.5365
AT,Austria,12,2020,SO2,6
AT,Austria,12,2021,CO,1044.51549
AT,Austria,12,2021,NO2,9.883500095
AT,Austria,12,2021,O3,69.606
AT,Austria,12,2023,NO2,25.501820262499997
AT,Austria,12,2023,O3,12.571
AT,Austria,12,2023,PM2.5,8.14272499
AT,Austria,12,2023,SO2,1.99855041
AU,Australia,1,2018,CO,229.120654396728
AU,Australia,1,2018,NO2,3.7635991820040897
